node1 node2 success_rate
1 2 0.996347
1 3 0.789885
1 4 0.196561
1 5 0.999157
1 6 0.307811
1 7 0.163338
1 8 0.644369
2 4 0.577724
2 5 0.902380
2 6 0.268615
2 8 0.316330
3 4 0.902417
3 6 0.824731
3 7 0.956122
3 8 0.319997
3 9 0.995341
3 12 0.979940
3 15 0.483977
3 17 0.518461
3 24 0.914717
3 29 0.753284
3 37 0.968265
4 6 0.892662
4 8 0.751568
4 9 0.984679
4 12 0.121962
4 24 0.754723
4 37 0.957581
5 8 0.539204
5 37 0.145278
6 7 0.702482
6 8 0.967228
6 10 0.249974
6 12 0.864986
6 15 0.303386
6 16 0.648225
6 17 0.207224
6 19 0.591144
6 20 0.679325
6 22 0.208382
6 23 0.520913
6 24 0.877842
6 25 0.652983
6 27 0.612956
6 29 0.596161
6 31 0.703513
6 34 0.770277
6 35 0.545261
6 37 0.887759
7 8 0.886474
7 9 0.988348
7 10 0.153524
7 12 0.976054
7 15 0.652489
7 17 0.302174
7 24 0.723780
7 29 0.168392
7 37 0.964844
8 9 0.983897
8 10 0.726173
8 12 0.608118
8 20 0.369035
8 24 0.171791
8 29 0.285700
8 35 0.208625
8 36 0.240676
8 37 0.809592
9 10 0.349864
9 12 0.993435
9 13 0.772104
9 14 0.430445
9 15 0.975875
9 16 0.914385
9 17 0.986726
9 37 0.498743
10 12 0.682463
10 15 0.622298
10 18 0.516935
10 20 0.712901
10 21 0.383053
10 22 0.779727
10 23 0.467771
10 24 0.660952
10 29 0.769667
10 35 0.211041
10 37 0.434716
11 13 0.740611
12 15 0.990152
12 24 0.850962
12 37 0.496439
13 14 0.636826
13 16 0.849919
13 18 0.290127
13 19 0.833262
13 20 0.276045
13 23 0.107672
13 24 0.695728
13 25 0.125374
13 27 0.171504
13 28 0.162815
13 29 0.443384
13 31 0.333851
13 34 0.873545
13 37 0.300587
14 19 0.316317
14 24 0.380185
14 29 0.263517
14 34 0.301448
14 35 0.225359
15 29 0.206821
15 37 0.994317
15 38 0.998806
16 19 0.847471
16 24 0.863356
16 27 0.360714
16 28 0.141474
16 34 0.176164
16 35 0.862838
16 37 0.214901
17 20 0.187835
17 21 0.500556
17 22 0.109219
17 24 0.957674
17 25 0.553461
17 30 0.355934
17 37 0.623835
18 19 0.748154
18 20 0.877148
18 21 0.995291
18 22 0.995406
18 23 0.991711
18 24 0.873386
18 25 0.815327
18 26 0.997120
18 27 0.763128
18 30 0.738686
18 32 0.997963
18 33 0.717561
18 37 0.430038
19 20 0.446290
19 23 0.871294
19 24 0.225004
19 27 0.829410
19 29 0.997680
19 34 0.846886
19 35 0.665571
20 21 0.449155
20 22 0.951057
20 23 0.980584
20 24 0.923858
20 25 0.419666
20 26 0.643179
20 27 0.784707
20 29 0.933536
20 30 0.339383
20 32 0.122358
20 34 0.334290
20 37 0.325583
21 22 0.404919
21 23 0.863309
21 24 0.400562
21 25 0.867321
21 26 0.932294
21 27 0.815063
21 29 0.802745
21 30 0.901350
21 31 0.222189
21 32 0.886078
21 33 0.841746
21 35 0.833565
22 23 0.992038
22 24 0.949128
22 25 0.568119
22 27 0.658838
22 29 0.992851
22 34 0.301274
22 35 0.179667
23 24 0.980178
23 25 0.651468
23 26 0.877441
23 27 0.917718
23 29 0.898455
23 30 0.612017
23 31 0.474060
23 32 0.728612
23 34 0.568285
23 35 0.203069
24 25 0.598866
24 26 0.863416
24 27 0.978594
24 34 0.124677
24 35 0.975309
24 37 0.321743
25 26 0.817460
25 27 0.377820
25 30 0.819656
25 33 0.755818
25 35 0.545593
26 27 0.810296
26 29 0.795609
26 30 0.997612
26 31 0.561977
26 35 0.124020
27 29 0.640647
27 30 0.594121
27 32 0.272276
27 34 0.309667
27 35 0.351101
27 37 0.102360
28 29 0.927612
28 34 0.245285
28 35 0.277206
29 30 0.541636
29 34 0.162532
29 35 0.992055
29 37 0.930153
31 35 0.286158
34 35 0.472631
35 37 0.108923
